J,h,val,err,,,
1.196402346,0.835839217,0.19628755,0.000693449,,,
1.196312404,0.835902057,0.19631803,0.000692844,,,
1.196222463,0.835964907,0.1963483,0.000692064,,,
1.196132522,0.836027766,0.196377941,0.000690924,,,
1.19604258,0.836090635,0.196408088,0.000689514,,,
1.195952639,0.836153513,0.196437795,0.000688222,,,
1.195862698,0.8362164,0.196473814,0.000686534,,,
1.195772756,0.836279297,0.196504444,0.000685534,,,
1.195682815,0.836342203,0.19653892,0.000683942,,,
1.195592874,0.836405119,0.196574892,0.000683178,,,
1.195502932,0.836468044,0.196610981,0.000681969,,,
1.195412991,0.836530979,0.196643157,0.000681488,,,
1.19532305,0.836593924,0.196676842,0.000681103,,,
1.195233108,0.836656877,0.196713174,0.000680318,,,
1.195143167,0.83671984,0.196745431,0.00067913,,,
1.195053226,0.836782813,0.19678013,0.000678245,,,
1.194963284,0.836845795,0.19681417,0.000677353,,,
1.194873343,0.836908787,0.196844162,0.000676191,,,
1.194783402,0.836971788,0.196871111,0.000675805,,,
1.19469346,0.837034799,0.19690431,0.000674744,,,
1.194603519,0.837097819,0.196934599,0.000674159,,,
1.194513578,0.837160848,0.196967843,0.000673544,,,
1.194423636,0.837223887,0.196999622,0.000672696,,,
1.194333695,0.837286936,0.197034395,0.000671938,,,
1.194243754,0.837349994,0.197078747,0.000671305,,,
1.194153812,0.837413062,0.197114031,0.000670567,,,
1.194063871,0.837476139,0.197147244,0.000669934,,,
1.193973929,0.837539225,0.197177244,0.000669508,,,
1.193883988,0.837602321,0.197207867,0.000668568,,,
1.193794047,0.837665427,0.197239815,0.000667933,,,
1.193704105,0.837728542,0.197272844,0.000667369,,,
1.193614164,0.837791667,0.197304856,0.000666354,,,
1.193524223,0.837854801,0.197340103,0.00066643,,,
1.193434281,0.837917945,0.197372735,0.000665721,,,
1.19334434,0.837981098,0.197403332,0.000665092,,,
1.193254399,0.83804426,0.197433232,0.000664487,,,
1.193164457,0.838107433,0.197463451,0.000664007,,,
1.193074516,0.838170614,0.197496417,0.00066335,,,
1.192984575,0.838233806,0.197529411,0.000662423,,,
1.192894633,0.838297006,0.197563161,0.000661642,,,
1.192804692,0.838360217,0.197596874,0.00066036,,,
1.192714751,0.838423436,0.197628967,0.000659342,,,
1.192624809,0.838486666,0.197664436,0.000659373,,,
1.192534868,0.838549905,0.197700424,0.000659068,,,
1.192444927,0.838613153,0.19773231,0.0006583,,,
1.192354985,0.838676411,0.197763709,0.000657908,,,
1.192265044,0.838739679,0.197794993,0.000657421,,,
1.192175103,0.838802956,0.197827763,0.000657309,,,
1.192085161,0.838866242,0.197861453,0.000656826,,,
1.19199522,0.838929539,0.197886769,0.000656428,,,
1.191905279,0.838992844,0.197915606,0.000656321,,,
1.191815337,0.83905616,0.197949928,0.00065549,,,
1.191725396,0.839119485,0.197982679,0.00065517,,,
1.191635455,0.839182819,0.198012028,0.000654517,,,
1.191545513,0.839246163,0.198041029,0.000653641,,,
1.191455572,0.839309516,0.19807352,0.000653176,,,
1.191365631,0.83937288,0.198111238,0.000652709,,,
1.191275689,0.839436252,0.198144448,0.000651996,,,
1.191185748,0.839499634,0.198180545,0.00065132,,,
1.191095807,0.839563026,0.198211823,0.000650834,,,
1.191005865,0.839626428,0.198246628,0.000650956,,,
1.190915924,0.839689839,0.198281333,0.000650232,,,
1.190825983,0.839753259,0.198310808,0.000650276,,,
1.190736041,0.839816689,0.198345229,0.000650035,,,
1.1906461,0.839880129,0.198378761,0.000649817,,,
1.190556159,0.839943578,0.198411836,0.000649307,,,
1.190466217,0.840007037,0.198445896,0.000649058,,,
1.190376276,0.840070506,0.198482841,0.000648496,,,
1.190286335,0.840133984,0.198520221,0.00064851,,,
1.190196393,0.840197471,0.198558197,0.000648225,,,
1.190106452,0.840260969,0.198588483,0.000647577,,,
1.190016511,0.840324475,0.198621639,0.000647142,,,
1.189926569,0.840387992,0.198663441,0.000647097,,,
1.189836628,0.840451518,0.198700948,0.000646325,,,
1.189746687,0.840515054,0.198736402,0.000645782,,,
1.189656745,0.840578599,0.198760937,0.000646008,,,
1.189566804,0.840642154,0.198794886,0.000645952,,,
1.189476863,0.840705718,0.198828105,0.00064568,,,
1.189386921,0.840769292,0.198860668,0.000645098,,,
1.18929698,0.840832876,0.198895884,0.000644871,,,
1.189207039,0.840896469,0.198928351,0.000644087,,,
1.189117097,0.840960072,0.19896175,0.000643241,,,
1.189027156,0.841023685,0.198999298,0.000642557,,,
1.188937215,0.841087307,0.19903194,0.00064199,,,
1.188847273,0.841150939,0.199063313,0.000642379,,,
1.188757332,0.84121458,0.199096509,0.000642155,,,
1.188667391,0.841278231,0.199129297,0.000641988,,,
1.188577449,0.841341892,0.199161708,0.000641352,,,
1.188487508,0.841405562,0.199189563,0.00064077,,,
1.188397567,0.841469242,0.199219667,0.000639995,,,
1.188307625,0.841532932,0.199256078,0.000639978,,,
1.188217684,0.841596631,0.199290622,0.000639645,,,
1.188127743,0.84166034,0.199321576,0.000639488,,,
1.188037801,0.841724059,0.199351609,0.00063916,,,
1.18794786,0.841787787,0.199386304,0.000638628,,,
1.187857919,0.841851525,0.199420106,0.000638463,,,
1.187767977,0.841915272,0.199449055,0.000638188,,,
1.187678036,0.841979029,0.199475885,0.000638307,,,
1.187588095,0.842042796,0.199507012,0.000638203,,,
1.187498153,0.842106573,0.199545223,0.000637913,,,
1.187408212,0.842170359,0.199582582,0.000638086,,,
1.187318271,0.842234155,0.199621534,0.000637546,,,
1.18722833,0.84229796,0.199655666,0.00063763,,,
1.187138388,0.842361775,0.199688561,0.000637731,,,
1.187048447,0.8424256,0.199721961,0.000637567,,,
1.186958506,0.842489434,0.199752638,0.000637263,,,
1.186868564,0.842553279,0.199786484,0.000637225,,,
1.186778623,0.842617132,0.199813361,0.000637934,,,
1.186688682,0.842680996,0.199852406,0.000637629,,,
1.18659874,0.842744869,0.199887941,0.000637593,,,
1.186508799,0.842808752,0.199929076,0.000637786,,,
1.186418858,0.842872645,0.199962298,0.000637187,,,
1.186328916,0.842936547,0.199994292,0.000636765,,,
1.186238975,0.843000459,0.200026834,0.000637293,,,
1.186149034,0.84306438,0.200058222,0.000637424,,,
1.186059092,0.843128312,0.200095016,0.000637481,,,
1.185969151,0.843192253,0.200131421,0.000637398,,,
1.18587921,0.843256203,0.200161007,0.000637772,,,
1.185789268,0.843320164,0.20019622,0.000637754,,,
1.185699327,0.843384134,0.200223713,0.000638082,,,
1.185609386,0.843448114,0.200257771,0.000638596,,,
1.185519444,0.843512103,0.200291863,0.000639009,,,
1.185429503,0.843576102,0.200331164,0.000639504,,,
1.185339562,0.843640111,0.200359471,0.000639663,,,
1.18524962,0.84370413,0.200394677,0.000640276,,,
1.185159679,0.843768159,0.200432984,0.000640078,,,
1.185069738,0.843832197,0.200464305,0.000640059,,,
1.184979797,0.843896244,0.200498188,0.000640418,,,
1.184889855,0.843960302,0.200528768,0.000640251,,,
1.184799914,0.844024369,0.200562467,0.000640233,,,
1.184709973,0.844088446,0.200598461,0.000640241,,,
1.184620031,0.844152533,0.200632095,0.000640963,,,
1.18453009,0.844216629,0.200670476,0.00064103,,,
1.184440149,0.844280736,0.200707685,0.000640952,,,
1.184350207,0.844344852,0.200745066,0.000641029,,,
1.184260266,0.844408977,0.200781924,0.000641483,,,
1.184170325,0.844473113,0.200815404,0.000641795,,,
1.184080383,0.844537258,0.200855644,0.000642315,,,
1.183990442,0.844601413,0.200896069,0.000642527,,,
