J,h,val,err,,,
1.166286342,0.85742237,0.208084829,0.000626923,,,
1.166196401,0.857488498,0.208125476,0.000626812,,,
1.16610646,0.857554636,0.208162546,0.000626463,,,
1.166016518,0.857620783,0.208204216,0.000626079,,,
1.165926577,0.857686942,0.208239147,0.000626029,,,
1.165836636,0.85775311,0.208279194,0.000625514,,,
1.165746695,0.857819288,0.208317543,0.000624848,,,
1.165656753,0.857885477,0.208362008,0.00062508,,,
1.165566812,0.857951676,0.208402165,0.000625132,,,
1.165476871,0.858017885,0.208443314,0.000625573,,,
1.16538693,0.858084105,0.208486364,0.000625276,,,
1.165296988,0.858150334,0.208530303,0.000625209,,,
1.165207047,0.858216574,0.20856502,0.000625212,,,
1.165117106,0.858282824,0.208604459,0.00062545,,,
1.165027164,0.858349084,0.208642872,0.000625359,,,
1.164937223,0.858415355,0.208687984,0.000625231,,,
1.164847282,0.858481636,0.208732458,0.000625277,,,
1.164757341,0.858547927,0.208770348,0.000625817,,,
1.164667399,0.858614228,0.208812632,0.000625937,,,
1.164577458,0.858680539,0.208851466,0.000625325,,,
1.164487517,0.858746861,0.208893706,0.000625136,,,
1.164397576,0.858813193,0.208934416,0.000624904,,,
1.164307634,0.858879535,0.208977729,0.000625025,,,
1.164217693,0.858945888,0.209019163,0.00062528,,,
1.164127752,0.85901225,0.209056518,0.000625045,,,
1.164037811,0.859078623,0.209094436,0.000625063,,,
1.164,0.859106529,0.209111398,0.000625233,,,
1.163910059,0.859172917,0.209124767,0.000623432,,,
1.163820117,0.859239315,0.209146558,0.000621656,,,
1.163730176,0.859305723,0.209165948,0.000620534,,,
1.163640235,0.859372141,0.20918431,0.000619417,,,
1.163550294,0.85943857,0.209205973,0.000618066,,,
1.163460352,0.859505008,0.209228572,0.000616696,,,
1.163370411,0.859571458,0.209254507,0.000614934,,,
1.16328047,0.859637917,0.209276634,0.000613236,,,
1.163190529,0.859704387,0.209296005,0.00061167,,,
1.163100587,0.859770867,0.209323458,0.000610284,,,
1.163010646,0.859837357,0.209349128,0.000609759,,,
