infid^{-1},1_Character,1_Cross_Character,Sample#,Variance,Variance(amp),1_Character(amp),1_Cross_Character(amp),Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty,N_M,partone_crm,partone_thr,parttwo
545.42316,0.00032439578890507603,0.000321002064501298,8558,4.990699723244557e-06,23.754645442802943,1544.0534145317524,1527.9000243434273,1.4523095054222583,6912677.437561735,2490538006,38078260,4.977527124158447e-06,1.4523094922496593,0.5015896528766834
428.07758,0.0005264848010094233,0.0005209733511792004,8556,8.099789167315763e-06,23.748633107665388,1543.656769041379,1527.4971632534366,1.4508367456987834,4253862.521725119,1532605329,23456050,8.078341576083839e-06,1.4508367242511921,0.5030757723155803
336.3718,0.0008523728038872908,0.0008434504095042416,8553,1.3113586938357932e-05,23.739995755060242,1543.0809923426582,1526.9284624685486,1.4489722794267654,2623126.374537059,945074609,14482686,1.3078720713703272e-05,1.4489722445605409,0.5049565836789001
263.74295,0.0013871356285973678,0.0013726244981194125,8557,2.134117499489131e-05,23.75199005101965,1543.8340043482394,1527.6836177446926,1.4465729868638404,1609985.7294778116,580054643,8903723,2.1284190341629632e-05,1.4465729298791872,0.5073755678930296
207.05966,0.0022508881069861087,0.002227344357089516,8558,3.463066099793753e-05,23.755914660780302,1544.062522621555,1527.9119988596344,1.4435355676041042,990235.437777133,356767549,5487834,3.453764872545189e-05,1.4435354745918316,0.5104359113639789
162.6377,0.0036482339240138857,0.003610074662574729,8558,5.613043309838458e-05,23.75531232367203,1543.9919400383108,1527.8423198859248,1.4396814793209518,609296.6203900474,219520786,3385731,5.5978526084925574e-05,1.4396813274139384,0.5143162845855733
127.633865,0.005924706447805677,0.005862704877633381,8560,9.11576021770444e-05,23.759905213843187,1544.253690946225,1528.0932019116178,1.4347598659129785,373965.0627548354,134734219,2085172,9.090857416030709e-05,1.434759616884962,0.5192662477161734
100.209145,0.009615111585212091,0.009514525282353664,8564,0.00014794351639777764,23.770080927189046,1544.859728018994,1528.6985293579928,1.4285100201103083,229518.6677327926,82692266,1285360,0.0001475346472645197,1.428509611241175,0.5255440291244255
78.6791,0.015591418443453893,0.01542835005601109,8561,0.00023990844010041636,23.762067700540698,1544.2738923471802,1528.1225553595693,1.4205831324106248,140703.64741006398,50693495,792372,0.000239235153771571,1.420582459124296,0.5334932349598716
61.73564,0.02531464993600304,0.025049658510957706,8558,0.00038954043217732416,23.754421238530757,1543.703319125615,1527.5439748954377,1.4104914252359655,86012.65671220135,30989119,487846,0.00038842616312272576,1.410490310966911,0.5435917012096028
48.440903,0.041128065855780674,0.040697639081767524,8561,0.0006329201815073945,23.762567795798834,1544.125913129299,1527.9658258110928,1.3976652450328362,52474.41322194043,18905774,300355,0.0006310677342449858,1.3976633925855737,0.556391797500791
38.024174,0.0667635686922225,0.06606541534074434,8563,0.0010275172546380348,23.769971716214737,1544.4686036408532,1528.317940142689,1.3814332815378132,31957.25413054883,11513737,185068,0.0010244236150684046,1.3814301878982436,0.5725336878723253
29.843777,0.10835682199573357,0.10722304987454595,8562,0.0016678258427209288,23.767210316649134,1544.129675682951,1527.9729525016758,1.360900032392717,19393.390161795483,6987158,114004,0.0016626255024434263,1.3608948320524394,0.5928595929963887
23.448961,0.175495757342728,0.17365946297016735,8563,0.0027015868663528694,23.76764420778962,1543.9521017991683,1527.7970072318383,1.335089900304747,11745.667752188372,4231794,70382,0.0026928025399520447,1.3350811159783462,0.6182584607428452
18.411695,0.28477578101838924,0.2817961976756009,8568,0.00438458589947989,23.78133140847599,1544.5808066639208,1528.4199968272542,1.3024585170588483,7064.338195231364,2545179,43391,0.004369602981252541,1.3024435341406209,0.6501238048028606
14.447648,0.4623501712603588,0.4575102697918948,8567,0.007120093665477524,23.779351045120325,1544.135167979453,1527.9710946610887,1.2614290602949365,4212.860933095296,1517833,26719,0.007094277514278822,1.2614032441437377,0.6897817438781129
11.3399105,0.7504149363651307,0.7425613630751752,8568,0.011559213987818766,23.783049074683866,1543.9765434531457,1527.817839309121,1.2101434926226522,2489.866707440793,897063,16460,0.011514336447979483,1.210098615082813,0.7386843057545893
8.907714,1.21571578505585,1.2029853255959997,8568,0.018732384057589105,23.781845702453122,1543.4215489790633,1527.2594939163048,1.1466292017794528,1455.7121331066444,524472,10157,0.018653803079181755,1.1465506208010454,0.7981469976834517
6.9851804,1.9778360627461233,1.957144206929084,8575,0.030487251947865487,23.800907192697352,1544.0647996837986,1527.911000686493,1.0675248666034316,833.3994916752016,300261,6246,0.03034790347789743,1.0673855181334635,0.8703705434204916
5.4850016,3.2072559216526155,3.173696255855896,8577,0.04946001737283354,23.808265879403237,1543.8571553744964,1527.7027444269768,0.9714828105024503,467.6367352514576,168482,3851,0.049212034445908825,0.9712348275755256,0.9549822515870721
4.306151,5.206449440900981,5.151991625085712,8586,0.08033110668788611,23.833192822784085,1544.6857209273528,1528.5287964363738,0.8555248319130904,253.82307208696042,91448,2374,0.07988798071358225,0.8550817059387865,1.0519810629973707
3.380678,8.444073035796173,8.355749412903492,8588,0.13035704673564627,23.83757611075318,1544.1147119859381,1527.963524644671,0.7188753230310231,131.4562246998832,47361,1463,0.129565955485788,0.7180842317811649,1.1573664985426266
2.65393,13.701138293771285,13.557748516727226,8592,0.21162964205794318,23.849286661800615,1544.0293315416523,1527.8702346219536,0.5621686066191317,63.3527521057463,22825,902,0.2102297603678091,0.5607687249289977,1.262693284500934
2.083858,22.21712879951341,21.984657982644908,8594,0.3433260062438068,23.854094624283807,1543.6334068067813,1527.4814673611343,0.39116528709447695,27.17794050667,9791,556,0.3408986865059177,0.38873796735658783,1.349589774266337
1.6358424,36.04980400673284,35.67245122924584,8594,0.5571803437338975,23.856059345238666,1543.4971341694884,1527.340515661568,0.2189798327519445,9.37577203555433,3377,343,0.5531453117909044,0.21494480080895148,1.3840159564466028
1.2840365,58.51070509971268,57.89832866424512,8591,0.9039341341096748,23.845779117713118,1543.5121843292561,1527.3576962243958,0.07367421049333994,1.943525400582926,700,212,0.8977843014788044,0.06752437786246954,1.3037645177445252
1.0087643,94.82456474952646,93.83214805433951,8579,1.4626298490666474,23.814081295141243,1543.9038764063334,1527.7456584724396,0.007662712196574688,0.1247618810097078,44,131,1.4549838014459051,1.666457583244409e-05,1.001632238317234
