infid^{-1},7_Character,7_Cross_Character,Sample#,Variance,Variance(amp),7_Character(amp),7_Cross_Character(amp),Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty,N_M,partone_crm,partone_thr,parttwo
1125.4589,1.2865264657198314e-05,1.2071947788099096e-05,1444,1.9785995632210694e-07,4.0099334664492945,260.73418928508477,244.6564142666724,0.23372578511354428,4736809.130661985,1706604029,162132192,1.8725042439311486e-07,0.23372577450401236,1.720146667741471
883.9884,2.0862170935881397e-05,1.9575098362016108e-05,1445,3.208408239741549e-07,4.011462685780108,260.8390641098588,244.74683638148383,0.2336114114985934,2920836.097449117,1052335130,100023744,3.036422256043232e-07,0.23361139429999503,1.7202682005028613
694.3637,3.3824649027719345e-05,3.1737178555272115e-05,1445,5.201846127591418e-07,4.012836997997707,260.9319840176952,244.82870349266625,0.23346585470514603,1801015.2483379133,648879825,61714044,4.923072856881357e-07,0.23346582682781897,1.7204225894624643
545.0687,5.4897325838847995e-05,5.150856934181903e-05,1445,8.442553303105947e-07,4.013251365730313,260.95987788036354,244.85108809656003,0.23328014663370208,1108920.291603072,399527991,38028792,7.99010157070372e-07,0.23328010138852884,1.720619282156393
428.02295,8.906701356331428e-05,8.35699351193217e-05,1446,1.369747987618832e-06,4.0150852624687206,261.07842958166077,244.96507234616104,0.23304385380635634,683111.7485731227,246115313,23450068,1.2963636018953411e-06,0.2330437804219706,1.7208688353540915
335.97437,0.00014466808772263328,0.0001357426584617635,1447,2.2248365015763433e-06,4.018189116521044,261.2793053256412,245.15944092621453,0.23274225254249414,420346.5672458322,151444807,14448483,2.105710721102918e-06,0.23274213341671368,1.7211868140320168
263.76367,0.00023463824595367774,0.00022015593239656527,1447,3.608506522189672e-06,4.0167745098123735,261.185318518396,245.06446974575195,0.2323595203840921,258648.7769529356,93187424,8905123,3.4151808452399854e-06,0.23235932705841517,1.7215889322952225
207.06732,0.0003808297933320081,0.0003573265632803189,1447,5.856861600589575e-06,4.017982863546355,261.26066960193765,245.1367482895118,0.2318717382336791,159070.9725273079,57310977,5488240,5.543081597983615e-06,0.23187142445367648,1.722099961502134
162.52583,0.0006185673150292438,0.0005804129560124348,1448,9.513292231004181e-06,4.020643487597451,261.4277567031544,245.3024163499552,0.23124997703800487,97734.16937143447,35212211,3381075,9.00376548448473e-06,0.23124946751125836,1.7227481444882533
127.633865,0.0010026660518746694,0.0009407951956753003,1448,1.542087893200721e-05,4.0193973183611265,261.34134493151214,245.21492602964983,0.23046268203085438,60069.27946334362,21642095,2085172,1.4594297715133255e-05,0.23046185544963751,1.7235640091514977
100.182816,0.0016275086963980136,0.0015270822609859598,1448,2.5031664246409936e-05,4.019723684988731,261.3543865895576,245.22735176474677,0.2294591301407215,36847.82166634629,13275738,1284685,2.3689237229162986e-05,0.22945778771370426,1.7245958526518963
