infid^{-1},Sample#,Variance,Variance(amp),Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty,partone_crm,partone_thr,parttwo,,0,2,4,6,,0,2,4,6,,1,4,7,,,,1,4,7
5.926722,22883,0.056505654,1.984819415,1.345825675,47.27351593,545022,1.9847989,47.27349539,20.53972266,,129831.3423,12624.29047,11452.21996,11440.49925,,390875.3888,273668.3371,272496.2665,272484.5458,,23283.51577,11454.20681,11442.3775,,,,284372.851,272543.5421,272531.7128
4.9646826,22883,0.080526203,1.984815717,1.2410766,30.59014631,352678,1.984799,30.59012959,16.72117301,,107821.2227,12404.18985,11450.01952,11440.47782,,272702.3482,177285.3154,176331.1451,176321.6034,,21082.12248,11452.00599,11442.37587,,,,185991.8533,176361.7368,176352.1067
4.1588035,22883,0.114757917,1.984812246,1.121586114,19.39855571,223648,1.9847987,19.39854219,13.52245428,,89383.80616,12219.81397,11448.17405,11440.45765,,189756.6236,112592.6314,111820.9915,111813.2751,,19238.0594,11450.1602,11442.3723,,,,119628.2906,111840.3914,111832.6035
3.4837368,22883,0.163541599,1.984809768,0.986859848,11.97694698,138083,1.9847989,11.97693614,10.84295621,,73939.18045,12065.36886,11446.63074,11440.44336,,131533.8595,69660.0479,69041.30979,69035.12241,,17693.32991,11448.61662,11442.37191,,,,75298.0011,69053.28781,69047.0431
2.9182482,22883,0.233063307,1.984807272,0.837311611,7.13068993,82210,1.9847987,7.130681332,8.598399554,,61001.55474,11935.99146,11445.33582,11440.42927,,90662.42222,41596.85895,41106.20331,41101.29676,,16399.34185,11447.32148,11442.36946,,,,46065.35522,41113.33486,41108.38284
2.4445515,22883,0.332138828,1.984805889,0.674866687,4.032890046,46495,1.9847991,4.032883328,6.718190243,,50164.03058,11827.6185,11444.25438,11440.42074,,61969.18806,23632.77599,23249.41186,23245.57822,,15315.40349,11446.23985,11442.37068,,,,27122.60906,23253.44542,23249.57626
2.047746,22883,0.473331516,1.984803914,0.503862259,2.112827376,24359,1.9847988,2.112822233,5.143177825,,41085.65727,11736.83305,11443.34481,11440.40993,,41823.58434,12474.76012,12181.27188,12178.337,,14407.4071,11445.33012,11442.36805,,,,15145.46219,12183.38522,12180.42314
1.7153509,22883,0.674545694,1.984802553,0.332382685,0.978012326,11275,1.9847987,0.978008502,3.823824454,,33480.90386,11660.78495,11442.58376,11440.40175,,27677.76516,5857.646248,5639.445059,5637.263047,,13646.7993,11444.56894,11442.36671,,,,7842.653812,5640.423449,5638.221218
1.4369112,22883,0.961296206,1.984801663,0.174220402,0.35971529,4147,1.9847989,0.359712571,2.718633496,,27110.58433,11597.08289,11441.94788,11440.39653,,17743.58673,2230.085296,2074.950282,2073.398932,,13009.65787,11443.93295,11442.36723,,,,3641.035182,2075.310264,2073.744539
1.2036684,22883,1.369945333,1.984800847,0.051742686,0.074965712,864,1.984799,0.07496392,1.79283847,,21774.30238,11543.72065,11441.41483,11440.39177,,10766.01297,535.4312415,433.1254241,432.102366,,12475.93761,11443.39981,11442.36727,,,,1465.738377,433.2005702,432.1680324
1.0082861,22883,1.95231192,1.984800018,6.27E-05,6.37E-05,0,1.984799,6.27E-05,1.017321159,,17304.2206,11499.01983,11440.96782,11440.3873,,5864.200614,58.99984382,0.947836112,0.367316034,,12028.85188,11442.95272,11442.36682,,,,586.8471137,0.947951148,0.362051986
