infid^{-1},5_Character,5_Cross_Character,Sample#,Variance,Variance(amp),5_Character(amp),5_Cross_Character(amp),Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty
79.67751,0.0046995594,0.004540826,4326,0.0001182315525722,12.009500181871504,477.3629,461.2394,0.4365520770178804,44343.25807520747,15976236
69.20009,0.0062303105,0.0060198638,4328,0.0001568128892036,12.014759019926752,477.35666,461.23254,0.4348758233039408,33319.507389496495,12004538
60.10151,0.008259547,0.007980563,4331,0.0002079967382654,12.021184268593592,477.36102,461.23712,0.4329525441848695,25022.518894315497,9015252
52.199448,0.010949773,0.010579934,4333,0.0002759037404738,12.028442742370943,477.37198,461.24832,0.4307470237588236,18779.070928258265,6765828
45.335983,0.014516259,0.014025936,4336,0.0003660117554154,12.036524908404225,477.37625,461.25168,0.4282194709571678,14082.264441451376,5073636
39.375557,0.019244384,0.018594343,4339,0.0004855749239199,12.045633183700591,477.3945,461.26895,0.4253252061811208,10551.021407943406,3801380
34.1979,0.025512468,0.024650758,4343,0.0006443017945169,12.056137115915408,477.38782,461.26355,0.4220137381603985,7896.696137368228,2845065
29.701967,0.033822123,0.03267976,4347,0.0008549415530253,12.067765129837555,477.40976,461.28494,0.418228874065101,5903.430246049308,2126920
25.796497,0.044838406,0.04332391,4352,0.0011346781686326,12.081313701314112,477.41016,461.2848,0.4139081429662813,4407.024173850014,1587787
22.404482,0.059442878,0.057435,4358,0.0015062421608105,12.097193582542502,477.40796,461.28192,0.4089827384499809,3284.6931839203285,1183427
19.458523,0.078804016,0.07614224,4363,0.0019993840067563,12.112559184717044,477.4062,461.28076,0.4033769820203041,2443.7164406451216,880435
16.900045,0.104471266,0.10094265,4370,0.0026545632583686,12.130782627324672,477.4112,461.28616,0.3970099351287047,1814.2499368782303,653648
14.677947,0.13849908,0.13382088,4378,0.0035252953962543,12.151953253192072,477.41653,461.29044,0.3897953324026832,1343.6532617104126,484098
12.747928,0.18360986,0.17740788,4387,0.0046830250060003,12.176588304783523,477.414,461.2879,0.3816435810497923,992.332255252164,357523
11.071819,0.24341352,0.23519158,4397,0.0062227576407544,12.205085474844356,477.42224,461.29602,0.372464480465205,730.5379837788746,263202
9.615982,0.32269663,0.31179625,4405,0.0082643716516583,12.226921656824205,477.42123,461.2944,0.3621644786958987,535.812871751815,193045
8.351598,0.42780113,0.41335177,4417,0.0109868680662519,12.261202202608548,477.42053,461.29523,0.3506768759231477,391.3508433472588,140998
7.253475,0.56714094,0.54798514,4424,0.0145867861164069,12.279250855868806,477.4229,461.29742,0.3379153599643794,284.4593346293549,102486
6.2997236,0.7518672,0.7264702,4437,0.0193963686731367,12.316389144728998,477.42383,461.29712,0.3238863991033975,205.66277107153653,74097
5.4713926,0.9967562,0.9630898,4450,0.0257920880877524,12.353847789099904,477.42447,461.299,0.3085916158662246,147.80865505860356,53253
4.751974,1.3214118,1.276779,4464,0.034300776485819,12.392876270196256,477.42633,461.30048,0.2921259081438542,105.54513937730336,38026
4.127149,1.75181,1.6926407,4458,0.0454054984218794,12.374530773930164,477.42734,461.3017,0.2744752475184127,74.80376859957626,26950
3.5844746,2.322392,2.243953,4462,0.0602451080911582,12.384907764924456,477.4265,461.3014,0.2562060207797652,52.669636369054885,18976
3.1131608,3.0788293,2.9748335,4466,0.0799443592797384,12.39683757165242,477.42886,461.3024,0.2377838722674103,36.87274584743258,13284
2.7038126,4.0816355,3.943771,4460,0.1058485082885294,12.381061304473237,477.4274,461.30145,0.2197952523207573,25.70937028226746,9262
2.3482945,5.4110613,5.2283015,4440,0.1396969124557102,12.325708946296292,477.4276,461.3024,0.2031057897407635,17.92038782851405,6456
2.0395215,7.1735115,6.931219,4422,0.1844396976565475,12.27526719757775,477.42853,461.3029,0.1896594207780453,12.622662562175847,4547
1.771348,9.51,9.188795,4354,0.2407452080115771,12.086078104830383,477.42844,461.30304,0.1789662935359827,8.984605009059504,3237
1.5384362,12.607561,12.181692,4284,0.3140368193539143,11.8921272972331,477.4304,461.30334,0.175115552378319,6.631376680265384,2389
1.3361495,16.713936,16.149406,4171,0.4053527171101914,11.57878868985395,477.42896,461.30334,0.1776108307149042,5.0734044477078255,1827
1.1604613,22.157845,21.409458,3948,0.5085762821694464,10.958154159384906,477.42902,461.30374,0.178566406333297,3.847521555548447,1386
1.007874,29.374975,28.382757,3560,0.6081072677237291,9.883543405677306,477.4303,461.30383,0.1603460068193574,2.6060973161171583,938
