infid^{-1},Sample#,Variance,Variance(amp),Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty,vu,N_mterm,vstar,remain,variance_new,Sample_new,variance_new_thr,Sample_new_thr
427.94653,729,6.905603174409749e-07,0.1264680009006138,0.0299810957709503,5490.685101936835,31651434,1.6529264809538368e-07,1.9239319260634915,0.0299805705032809,1.9239319260634915,6.905602877237769e-07,729,0.029981095770920528,31651433
335.89365,729,1.1209977836946145e-06,0.1264760642498308,0.0299428747417764,3378.2912015972674,19474393,2.68352272738588e-07,1.923986925352465,0.0299420220962654,1.923986925352465,1.1209977853298038e-06,729,0.02994287474177799,19474393
263.71808,729,1.818706600564768e-06,0.1264859863256194,0.0298943849163162,2079.0713359503857,11984950,4.354338237475267e-07,1.924055496128677,0.0298930016435393,1.924055496128677,1.8187059848528738e-06,729,0.029894384915700407,11984951
207.06477,729,2.9501880773165985e-06,0.1264917310844461,0.0298329033170444,1279.1101736402643,7373519,7.063349361867547e-07,1.9241407264919077,0.0298306594639033,1.9241407264919077,2.9501863426217382e-06,729,0.029832903315309734,7373519
162.5211,729,4.789374616152621e-06,0.1265022782113779,0.0297548349081416,785.9177252472011,4530477,1.1467772574053e-06,1.9242464196887288,0.0297511923107828,1.9242464196887288,4.789368958298092e-06,729,0.029754834902483693,4530476
127.62027,729,7.767644549311776e-06,0.1265111137840006,0.0296562434034971,483.0092777556693,2784340,1.859916595786597e-06,1.924375528925592,0.0296503356755435,1.924375528925592,7.767638817950942e-06,729,0.029656243397765663,2784340
100.17205,729,1.2608693039178294e-05,0.126521172212739,0.0295314792953253,296.3318534292979,1708225,3.0190601595449857e-06,1.924531750703155,0.0295218896624456,1.924531750703155,1.2608682663534515e-05,729,0.02953147928494959,1708225
78.64369,729,2.045835384379211e-05,0.126531447566003,0.0293743794285463,181.6755531176235,1047281,4.898372744717286e-06,1.9247169938460096,0.0293588194474472,1.9247169938460096,2.0458305433836744e-05,729,0.029374379380136317,1047281
61.73178,729,3.320660212716903e-05,0.1265441379617609,0.0291768426554542,111.1874797710646,640947,7.95043397499434e-06,1.9249304256892117,0.029151586487302,1.9249304256892117,3.320635359514748e-05,729,0.029176842406922154,640947
48.457413,729,5.389674791739397e-05,0.1265560711600608,0.0289296864078925,67.93039641810961,391589,1.2902975920597748e-05,1.9251666166597583,0.0288886926358957,1.9251666166597583,5.389623905667845e-05,729,0.028929685899031783,391589
38.04047,729,8.746535797754163e-05,0.1265691312471926,0.0286221377706113,41.418444923005225,238759,2.093787016095653e-05,1.925408265487774,0.0285556102827948,1.925408265487774,8.746431150874777e-05,729,0.028622136724142593,238759
29.853548,729,0.000142028060167,0.1265802796114373,0.0282415491109601,25.1698374174866,145093,3.399690767830651e-05,1.925621383927515,0.0281335179584713,1.925621383927515,0.00014202615782851774,729,0.02824154720862151,145093
23.44588,729,0.0002302792284056,0.1265866424925211,0.0277772082622969,15.269390800399735,88021,5.511964598222345e-05,1.9257372896227387,0.0276020486798736,1.9257372896227387,0.0002302662844199441,729,0.02777719531831132,88021
18.404707,729,0.0003736918287904,0.1265818496930547,0.0272154401336751,9.21877463438657,53142,8.945124213968417e-05,1.9256347088849823,0.0269311995470243,1.9256347088849823,0.00037367776743636055,729,0.027215426072320976,53142
14.444725,729,0.0006065426987174,0.1265551863334376,0.0265491676577469,5.539486118666122,31932,0.0001452211213446,1.9250958306392916,0.0260878460803741,1.9250958306392916,0.0006064323888671902,729,0.02654905734789669,31932
11.340171,729,0.000983581777461,0.126488106961588,0.0257821812515065,3.3155751505093964,19112,0.0002356203302433,1.923749177870272,0.0250342198042888,1.923749177870272,0.0009835787975334524,729,0.02578217827157895,19112
8.902657,728,0.0015941616901024,0.1263489309822291,0.0249353816372695,1.9763107049075292,11392,0.0003823098663434,1.9209616909048728,0.0237235298135105,1.9209616909048728,0.0015935089148332315,728,0.02493472886200033,11392
6.9900756,726,0.0025804709385413,0.126084797510467,0.0240665186208393,1.1759179620157405,6778,0.0006201453751858,1.9156756177030143,0.0221061930574837,1.9156756177030143,0.002578913900444506,726,0.024064961582742406,6778
5.4864187,724,0.0041728605364606,0.1256064044015367,0.023292219232494,0.7011142315356206,4041,0.0010066540733003,1.9061065636009056,0.0201260127693337,1.9061065636009056,0.004167693150582067,723,0.02328705184661547,4040
4.3064175,719,0.0067277507122239,0.124767685369785,0.022832424737143,0.4234325716999506,2440,0.0016339060827357,1.889330387711559,0.0177385801076548,1.889330387711559,0.006726440820502706,719,0.022831114845421805,2440
3.3809178,710,0.0107893143695257,0.1233283893573751,0.023057008568614,0.2635555543916689,1519,0.002650882779392,1.8605438358556872,0.0149185769784802,1.8605438358556872,0.010775528350814214,710,0.023043222549902417,1518
2.653919,696,0.017163916848915,0.12089037219963,0.0245408489779376,0.1728482136771317,996,0.0043021520772264,1.811781733130787,0.011679084206249,1.811781733130787,0.0171516679150334,696,0.024528600044056,995
2.083297,673,0.0269128702669244,0.1168052629399159,0.0280600045307066,0.1217839708212949,702,0.0069816693964616,1.7300786557895242,0.0081288036602438,1.7300786557895242,0.02686763095726073,672,0.02801476522104293,700
1.6353235,634,0.0411365643419655,0.1100108233134899,0.0343465949156098,0.0918525220840217,529,0.0113306559953573,1.594188804664824,0.0045406865690017,1.594188804664824,0.040852670896557745,629,0.03406270147020215,525
1.2836852,569,0.0599419336062305,0.0987751717900399,0.043040863870407,0.0709247844875875,408,0.0183884572012117,1.3694760667811328,0.0014873874653882,1.3694760667811328,0.05988773195215512,568,0.042986662216331614,408
1.0080578,462,0.0790341736925989,0.0803129897190194,0.0492760053600602,0.0500733179962057,288,0.0298189229279795,1.0002315465825375,6.075459544086427e-05,1.0002315465825375,0.077448996574767,453,0.04769082824222837,279
