1/1-phi0,m,r,infid^{-1},Character,Cross_Character,Sample#,Variance,Variance(amp),Character(amp),Cross_Character(amp),Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty,
141016.6888,0.051569538,142147.7661,188.5144,nan,nan,8253.5,8.06E-05,45.81678293,nan,nan,nan,nan,nan,4126.75
127515.548,0.052881671,128591.3399,179.2974,nan,nan,7850.5,8.47E-05,43.58195272,nan,nan,nan,nan,nan,3925.25
115306.2069,0.054227188,116329.4228,170.53656,nan,nan,7468.5,8.91E-05,41.45881154,nan,nan,nan,nan,nan,3734.25
104265.1051,0.055606942,105238.3219,162.20213,nan,nan,7104.5,9.37E-05,39.4382895,nan,nan,nan,nan,nan,3552.25
94280.49891,0.057021801,95206.16708,154.27751,nan,nan,6758,9.85E-05,37.51743541,nan,nan,nan,nan,nan,3379
85251.33112,0.05847266,86131.78105,146.73993,nan,nan,6429,0.000103593,35.6900666,nan,nan,nan,nan,nan,3214.5
77086.20922,0.059960435,77923.65712,139.57286,nan,nan,6116,0.000108932,33.95279072,nan,nan,nan,nan,nan,3058
69702.48118,0.061486064,70499.03461,132.75635,nan,nan,5818.5,0.000114545,32.30031753,nan,nan,nan,nan,nan,2909.25
63025.39958,0.063050512,63783.06286,126.27645,nan,nan,5535.5,0.000120448,30.73006749,nan,nan,nan,nan,nan,2767.75
56987.36577,0.064654765,57708.04495,120.11352,nan,nan,5266.5,0.000126655,29.23646988,nan,nan,nan,nan,nan,2633.25
51527.24619,0.066299837,52212.75394,114.25041,nan,nan,5010.5,0.000133181,27.81499358,nan,nan,nan,nan,nan,2505.25
46589.75418,0.067986766,47241.81431,108.67762,nan,nan,4767,0.000140044,26.4646272,nan,nan,nan,nan,nan,2383.5
42124.89078,0.069716617,42745.14264,103.37418,nan,nan,4535.5,0.000147261,25.17860178,nan,nan,nan,nan,nan,2267.75
38087.43912,0.071490482,38677.44172,98.33262,nan,nan,4315.5,0.000154849,23.95655083,nan,nan,nan,nan,nan,2157.75
34436.50708,0.073309481,34997.74303,93.5383,nan,nan,4106,0.000162829,22.79447171,nan,nan,nan,nan,nan,2053
31135.11373,0.075174763,31668.99297,88.97831,nan,nan,3907,0.000171219,21.68902733,nan,nan,nan,nan,nan,1953.5
28149.81527,0.077087505,28657.67865,84.642784,nan,nan,3717.5,0.000180042,20.63823862,nan,nan,nan,nan,nan,1858.75
25450.36676,0.079048915,25933.48943,80.51878,nan,nan,3537.5,0.000189319,19.63847703,nan,nan,nan,nan,nan,1768.75
23009.41624,0.081060231,23469.01086,76.59815,nan,nan,3366.5,0.000199074,18.68831809,nan,nan,nan,nan,nan,1683.25
20802.22802,0.083122722,21239.44783,72.8687,nan,nan,3203.5,0.000209331,17.78425075,nan,nan,nan,nan,nan,1601.75
18806.43251,0.085237691,19222.37421,69.322754,nan,nan,3048.5,0.000220117,16.92484573,nan,nan,nan,nan,nan,1524.25
17001.79989,0.087406474,17397.50647,65.94973,nan,nan,2901.5,0.000231458,16.10713029,nan,nan,nan,nan,nan,1450.75
15370.03551,0.089630438,15746.49884,62.74272,nan,nan,2761.5,0.000243383,15.32983196,nan,nan,nan,nan,nan,1380.75
13894.5948,0.09191099,14252.75814,59.69265,nan,nan,2628,0.000255923,14.5905048,nan,nan,nan,nan,nan,1314
12560.51586,0.094249567,12901.27626,56.791832,nan,nan,2501.5,0.000269108,13.88729788,nan,nan,nan,nan,nan,1250.75
11354.26817,0.096647647,11678.47871,54.033424,nan,nan,2381,0.000282971,13.21866614,nan,nan,nan,nan,nan,1190.5
10263.61559,0.099106744,10572.08758,51.41055,nan,nan,2266.5,0.000297549,12.58296624,nan,nan,nan,nan,nan,1133.25
9277.492664,0.10162841,9570.997636,48.915733,nan,nan,2157.5,0.000312877,11.97817802,nan,nan,nan,nan,nan,1078.75
8385.892567,0.104214236,8665.16426,46.54339,nan,nan,2054,0.000328994,11.40312195,nan,nan,nan,nan,nan,1027
7579.765899,0.106865857,7845.502102,44.28739,nan,nan,1955.5,0.00034594,10.85628312,nan,nan,nan,nan,nan,977.75
6850.929096,0.109584945,7103.793412,42.142056,nan,nan,1862,0.000363758,10.33628245,nan,nan,nan,nan,nan,931
6191.981611,0.112373218,6432.605133,40.10177,nan,nan,1772.5,0.000382493,9.841712472,nan,nan,nan,nan,nan,886.25
5596.231024,0.115232435,5825.213929,38.16152,nan,nan,1688,0.000402192,9.371396843,nan,nan,nan,nan,nan,844
5057.625305,0.118164401,5275.53837,36.31652,nan,nan,1607.5,0.000422903,8.924200884,nan,nan,nan,nan,nan,803.75
4570.691559,0.121170969,4778.077602,34.56184,nan,nan,1531,0.000444679,8.498861509,nan,nan,nan,nan,nan,765.5
4130.480628,0.124254035,4327.855879,32.89321,nan,nan,1458,0.000467575,8.094386516,nan,nan,nan,nan,nan,729
3732.51699,0.127415547,3920.372397,31.306383,nan,nan,1388.5,0.000491647,7.709733406,nan,nan,nan,nan,nan,694.25
3372.753457,0.130657501,3551.555922,29.797451,nan,nan,1322.5,0.000516956,7.343984437,nan,nan,nan,nan,nan,661.25
3047.53019,0.133981942,3217.723754,28.362505,nan,nan,1260,0.000543564,6.996166945,nan,nan,nan,nan,nan,630
2753.537652,0.13739097,2915.544611,26.997843,nan,nan,1200.5,0.000571539,6.665363721,nan,nan,nan,nan,nan,600.25
2487.783092,0.140886737,2642.005068,25.700195,nan,nan,1144,0.000600949,6.350825017,nan,nan,nan,nan,nan,572
2247.560238,0.14447145,2394.379191,24.466213,nan,nan,1090,0.000631867,6.051723314,nan,nan,nan,nan,nan,545
2030.42189,0.148147373,2170.201085,23.292728,nan,nan,1038.5,0.00066437,5.76727606,nan,nan,nan,nan,nan,519.25
1834.155134,0.151916825,1967.240056,22.176743,nan,nan,990,0.000698539,5.496749017,nan,nan,nan,nan,nan,495
1656.758923,0.155782187,1783.478152,21.115608,nan,nan,943.5,0.000734457,5.239542794,nan,nan,nan,nan,nan,471.75
1496.42381,0.1597459,1617.08985,20.10649,nan,nan,899.5,0.000772213,4.994929823,nan,nan,nan,nan,nan,449.75
1351.513609,0.163810464,1466.423678,19.14696,nan,nan,857.5,0.000811899,4.762354914,nan,nan,nan,nan,nan,428.75
1220.548821,0.167978447,1329.985603,18.23448,nan,nan,818,0.000853613,4.541172169,nan,nan,nan,nan,nan,409
1102.191639,0.17225248,1206.423996,17.366802,nan,nan,780,0.000897457,4.330850584,nan,nan,nan,nan,nan,390
995.2323863,0.176635262,1094.516041,16.541727,nan,nan,744,0.000943536,4.13085539,nan,nan,nan,nan,nan,372
898.5772591,0.181129558,993.1554367,15.75719,nan,nan,709.5,0.000991961,3.940690391,nan,nan,nan,nan,nan,354.75
811.2372327,0.185738207,901.3412799,15.011181,nan,nan,677,0.001042851,3.759861154,nan,nan,nan,nan,nan,338.5
732.3180356,0.190464118,818.1680032,14.301827,nan,nan,646,0.001096325,3.58791735,nan,nan,nan,nan,nan,323
661.0110798,0.195310275,742.8162799,13.627316,nan,nan,616.5,0.001152512,3.424413523,nan,nan,nan,nan,nan,308.25
596.5852592,0.200279738,674.5447942,12.986004,nan,nan,588.5,0.001211544,3.268966091,nan,nan,nan,nan,nan,294.25
538.3795334,0.205375643,612.6827998,12.37622,nan,nan,562,0.001273561,3.121157036,nan,nan,nan,nan,nan,281
485.7962199,0.210601208,556.6233871,11.7964325,nan,nan,536.5,0.001338705,2.980617525,nan,nan,nan,nan,nan,268.25
438.2949286,0.215959732,505.8173955,11.245182,nan,nan,512.5,0.001407128,2.846994325,nan,nan,nan,nan,nan,256.25
395.3870768,0.221454597,459.7679053,10.721102,nan,nan,489.5,0.001478986,2.719963002,nan,nan,nan,nan,nan,244.75
356.630929,0.227089274,418.025257,10.222829,nan,nan,468,0.001554442,2.599181876,nan,nan,nan,nan,nan,234
321.6271106,0.232867319,380.1825454,9.749134,nan,nan,447.5,0.001633664,2.484360842,nan,nan,nan,nan,nan,223.75
290.0145519,0.238792381,345.8715444,9.298802,nan,nan,427.5,0.001716826,2.375200487,nan,nan,nan,nan,nan,213.75
261.4668193,0.244868199,314.7590205,8.870728,nan,nan,409,0.001804109,2.271440398,nan,nan,nan,nan,nan,204.5
235.6887985,0.25109861,286.5433988,8.463792,nan,nan,391,0.0018957,2.172798745,nan,nan,nan,nan,nan,195.5
212.4136943,0.257487547,260.9517469,8.077002,nan,nan,374.5,0.001991789,2.079043766,nan,nan,nan,nan,nan,187.25
