1/1-phi0,m,r,infid^{-1},Character,Cross_Character,Sample#,Variance,Variance(amp),Character(amp),Cross_Character(amp),Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty
127515.548,0.052881671,128591.3399,179.2974,0.000188502,6.22E-05,315,1.70E-06,0.8766783,6.0598855,2.0001566,0.093401364,3002.62562,540901
115306.2069,0.054227188,116329.4228,170.53482,0.000204924,6.94E-05,312,1.86E-06,0.86657965,5.9596186,2.0190082,0.095923925,2789.671577,502539
104265.1051,0.055606942,105238.3219,162.20213,0.000223276,7.41E-05,305,2.01E-06,0.84727466,5.8743,1.9486902,0.094257703,2479.876241,446731.5
94280.49891,0.057021801,95206.16708,154.27751,0.000250813,8.30E-05,310,2.26E-06,0.8624634,5.9697447,1.9756963,0.094423135,2247.416927,404855.5
85251.33112,0.05847266,86131.78105,146.74377,0.00027344,9.61E-05,311,2.51E-06,0.863973,5.8881946,2.069418,0.094394832,2032.673416,366171
77086.20922,0.059960435,77923.65712,139.57402,0.000293105,9.92E-05,297,2.65E-06,0.82481253,5.7099586,1.9319414,0.087534565,1705.252777,307188.5
69702.48118,0.061486064,70499.03461,132.7574,0.000354946,0.000124152,333,3.28E-06,0.9242883,6.255749,2.1881256,0.095082062,1675.776274,301879
63025.39958,0.063050512,63783.06286,126.275505,0.000372664,0.000118971,305,3.33E-06,0.84930575,5.94231,1.8970546,0.103557477,1651.275952,297465
56987.36577,0.064654765,57708.04495,120.112656,0.000423291,0.000141336,319,3.84E-06,0.8873285,6.1068397,2.0390642,0.09692455,1398.335408,251900
51527.24619,0.066299837,52212.75394,114.25041,0.000424763,0.000130807,279,3.72E-06,0.7764436,5.544499,1.7074494,0.093671432,1222.707835,220262
46589.75418,0.067986766,47241.81431,108.67762,0.000491695,0.000166361,302,4.45E-06,0.8409727,5.807323,1.9648606,0.097858533,1155.789983,208207
42124.89078,0.069716617,42745.14264,103.37418,0.000565479,0.000190066,316,5.14E-06,0.87840044,6.042836,2.0310895,0.095192863,1017.251989,183250.5
38087.43912,0.071490482,38677.44172,98.33319,0.00061067,0.000208556,309,5.56E-06,0.859485,5.904818,2.0166109,0.092039158,889.9649818,160320.5
34436.50708,0.073309481,34997.74303,93.5383,0.000644459,0.000199685,285,5.66E-06,0.79304206,5.6386414,1.747124,0.08785724,768.6992652,138475.5
31135.11373,0.075174763,31668.99297,88.97878,0.000763654,0.000265589,319,7.01E-06,0.88768107,6.0460224,2.1027236,0.09597968,759.8925294,136889
28149.81527,0.077087505,28657.67865,84.642784,0.000818743,0.000278093,306,7.43E-06,0.85163945,5.865806,1.9923726,0.098375442,704.801154,126964.5
25450.36676,0.079048915,25933.48943,80.51917,0.000908404,0.000309728,308,8.26E-06,0.8565243,5.88949,2.00807,0.091568775,593.6712334,106945.5
23009.41624,0.081060231,23469.01086,76.59815,0.001008223,0.000336931,308,9.12E-06,0.8558832,5.9155245,1.9768662,0.088894043,521.565916,93956
20802.22802,0.083122722,21239.44783,72.86838,0.001077012,0.00034267,292,9.56E-06,0.8119529,5.7187166,1.8195084,0.093827494,498.2053222,89748
18806.43251,0.085237691,19222.37421,69.322754,0.001297576,0.000459506,333,1.20E-05,0.9242927,6.2356896,2.2082205,0.090498272,434.902523,78344.5
17001.79989,0.087406474,17397.50647,65.94973,0.001369422,0.000438747,307,1.22E-05,0.85241026,5.956121,1.908272,0.093298329,405.7886736,73099.5
15370.03551,0.089630438,15746.49884,62.74249,0.001449375,0.000468138,292,1.29E-05,0.81323,5.7056394,1.8428812,0.0880274,346.5304029,62424.5
