N_M,Variance,Variance(amp),Sample#,Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty
967179,0.00017231098191147667,8.689044658085546,6261,1.4209074481163448,71651.43007560664,51629954
1221677,0.00017219614357016227,8.683253759182458,6256,1.4209073332780036,71651.42428470774,51629950
1543141,0.00017210522844735452,8.678669225141686,6253,1.4209072423628808,71651.4197001737,51629946
1949194,0.00017203325242528349,8.675039724205943,6250,1.4209071703868588,71651.41607067277,51629944
2462092,0.00017197627045577546,8.672166321290653,6248,1.4209071134048892,71651.41319726985,51629942
3109951,0.00017193115883131703,8.669891498669541,6247,1.4209070682932647,71651.41092244723,51629940
3928284,0.00017189544475406954,8.668090561731669,6245,1.4209070325791875,71651.4091215103,51629939
4961947,0.00017186717059057088,8.666664793817258,6244,1.420907004305024,71651.40769574238,51629938
6267602,0.00017184478643590865,8.665536038601914,6244,1.4209069819208693,71651.40656698716,51629937
7916819,0.00017182706530353287,8.664642423413277,6243,1.420906964199737,71651.40567337198,51629936
10000000,0.0001718130358070916,8.663934964609686,6242,1.4209069501702405,71651.40496591317,51629936
