N_M,Variance,Variance(amp),Sample#,Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty
4489,0.00024208597838565508,12.207882487018784,8796,1.9072086082027193,96176.48540585236,69302001
5670,0.00023991080394148294,12.09819305279258,8717,1.9072064330282752,96176.37571641814,69301922
7162,0.00023818842658871793,12.011337215618228,8655,1.9072047106509225,96176.28886058097,69301860
9047,0.00023682463092144707,11.942563892382525,8605,1.9072033468552552,96176.22008725774,69301810
11428,0.00023574503451025103,11.888122134916124,8566,1.907202267258844,96176.16564550027,69301771
14435,0.0002348905124734243,11.845030400823495,8535,1.907201412736807,96176.12255376617,69301740
18233,0.00023421402945508272,11.810916796857462,8510,1.9072007362537888,96176.08844016222,69301715
23031,0.00023367839787417013,11.783906032170792,8491,1.907200200622208,96176.06142939752,69301696
29091,0.0002332543859819936,11.76252401167003,8475,1.9071997766103157,96176.04004737703,69301680
36746,0.00023291868444254255,11.745595294973347,8463,1.9071994409087762,96176.02311866032,69301668
46415,0.00023265292421094993,11.732193570104188,8453,1.9071991751485446,96176.00971693546,69301659
58629,0.0002324425153947491,11.721583099726923,8446,1.9071989647397285,96175.99910646508,69301651
74056,0.000232275949684553,11.713183544205366,8440,1.9071987981740182,96175.99070690955,69301645
93543,0.00023214407838098244,11.706533554031896,8435,1.9071986663027147,96175.98405691939,69301640
118158,0.00023203967795428762,11.701268861920507,8431,1.907198561902288,96175.97879222727,69301636
149249,0.00023195702907130667,11.6971010540291,8428,1.9071984792534051,96175.97462441938,69301633
188522,0.00023189159597555717,11.693801401777455,8426,1.9071984138203093,96175.97132476713,69301631
238128,0.00023183979492532434,11.691189184671105,8424,1.907198362019259,96175.96871255002,69301629
300788,0.00023179878431061764,11.68912110634456,8422,1.9071983210086443,96175.96664447169,69301628
379935,0.00023176631735945605,11.68748386685165,8421,1.9071982885416932,96175.9650072322,69301626
479909,0.00023174061365435213,11.6861876835143,8420,1.907198262837988,96175.96371104885,69301625
606189,0.0002317202645880819,11.685161523257502,8419,1.9071982424889218,96175.96268488861,69301625
765698,0.00023170415455296423,11.684349128351817,8419,1.9071982263788867,96175.9618724937,69301624
967179,0.00023169140054788738,11.683705970923802,8418,1.9071982136248815,96175.96122933627,69301624
1221677,0.00023168130341721797,11.683196794037597,8418,1.9071982035277508,96175.96072015939,69301623
1543141,0.0002316733097291839,11.682793689302624,8418,1.907198195534063,96175.96031705465,69301623
1949194,0.00023166698125655363,11.682474557848966,8418,1.9071981892055903,96175.9599979232,69301623
2462092,0.00023166197113201387,11.682221907893629,8417,1.9071981841954657,96175.95974527324,69301623
3109951,0.00023165800470441092,11.6820218893614,8417,1.907198180229038,96175.95954525471,69301622
3928284,0.00023165486455365135,11.681863538218058,8417,1.9071981770888873,96175.95938690356,69301622
4961947,0.0002316523785553328,11.681738174595026,8417,1.907198174602889,96175.95926153995,69301622
6267602,0.0002316504104344773,11.681638926434168,8417,1.9071981726347682,96175.95916229178,69301622
7916819,0.0002316488523086183,11.681560353451488,8417,1.9071981710766424,96175.9590837188,69301622
10000000,0.00023164761876886866,11.681498148657939,8417,1.9071981698431026,96175.959021514,69301622
